Au revoir,Adjö,Svenska 1
Je vous présente,Får jag presentera,Svenska 1
Donnez-moi de vos nouvelles,Hör av er,Svenska 1
Bonne chance,Lycka till,Svenska 1
Soyez prudent au volant,Kör försiktigt,Svenska 1
Heureux de vous avoir rencontré,Trevligt att träffas,Svenska 1
À bientôt,Ses senare,Svenska 1
Comment vous appelez-vous,Vad heter ni,Svenska 1
Je m’appelle,Jag heter,Svenska 1
À demain,Vi ses imorgon,Svenska 1
À la semaine prochaine,Vi ses nästa vecka,Svenska 1
Ça ne fait rein,Det gör inget,Svenska 1
Un instant,Ett ögonblick,Svenska 1
Pardon je n’ai pas entendu,Förlåt jag hörde inte,Svenska 1
Je peux passer,Kan jag komma förbi,Svenska 1
Où se trouve,Vart ligger ,Svenska 1
Avec plaisir,Med nöje,Svenska 1
À l’aide,Hjälp,Svenska 1
Aidez-moi à,Hjälp mig att,Svenska 1
À quelle heure,Vid vilken tid,Svenska 1
Combien ça coûte,Hur mycket kostar det,Svenska 1
Comment vas-tu,Hur mår du,Svenska 1
Comment ça va,Hur går det,Svenska 1
Il y a pas de quoi,Inga problem,Svenska 1
Pas du tout,Inte alls,Svenska 1
Oui s’il vous plaît,Ja snälla,Svenska 1
J’ai besoin de,Jag behöver,Svenska 1
J’ai froid,Jag fryser,Svenska 1
Je comprends,Jag förstår,Svenska 1
Je ne comprends pas,Jag förstår inte,Svenska 1
J’ai faim,Jag är hungrig,Svenska 1
J’ai soif,Jag är törstig,Svenska 1
Je suis fatigué,Jag är trött,Svenska 1
Je voudrais,Jag skulle vilja ha,Svenska 1
Bien sûr,Javisst,Svenska 1
Est-ce que je pourrais avoir,Kan jag få,Svenska 1
Est-ce que vous pouvez me dire,Kan ni säga mig,Svenska 1
Est-ce que vous pouvez me montrer,Kan ni visa mig,Svenska 1
Un peu,Lite,Svenska 1
Quand puis-je,När kan jag,Svenska 1
À votre santé,Skål,Svenska 1
Est-ce que je vous dérange,Stör jag dig,Svenska 1
Merci vous aussi,Tack detsamma,Svenska 1
Malheureusement mais heureusement,Tyvärr men självklart,Svenska 1
Ou’est-ce que tu as dit,Vad sa du,Svenska 1
Pourquoi pas,Varför inte,Svenska 1
Entrée et sortie,Ingång och utgång,Svenska 1
Chaud et libre,Varm och fri,Svenska 1
Défense de fumer,Rökning förbjudet,Svenska 1
Autorisation de fumer,Rökning tillåtet,Svenska 1
Fermé et ouvert,Stängt och öppet,Svenska 1
Tournez à droite et puis allez tous droit vers la village à gauche,Sväng höger och gå sedan rakt mot byn till vänster,Svenska 1
